,Unnamed: 0,Edad,Sexo,Perscargo,Estrato,Nivel de estudios,Tipo de contrato,Ingresos,Egresos,Tipo de actividad,Tipo de vivienda,Total activos,Total pasivos,Salario,Ingresos por arriendo,Ingresos por honorarios,Ingresos financieros,Otros ingresos,Gasto familiar,Gasto obligatorio,Gasto arriendo,Otros gastos,Destino,Monto,Plazo,Cuota,ConoCliente,Garantia,RespPat,Fecha_corte,CuidadRes,Ocupacion,Agencia,Cargo,Califica,FecIngEmp,FecIngreso,FecUltAct,Ciiu,Pagare,Estado,MoraCome,EndeuIndi,Puntaje
18,19,69,no,0,3,Primaria,Ninguno,611000,144000,Jubilado,Arrendada,0,4300000,611000,0,0,0,0,0,144000,0,0,Consumo,1200000,18,80748,Buena Experiencia CFB,Con Codeudor(es),Sin Patrimonio,2009-01-31,Sabaneta,Sin Profesión,Sabaneta,,1,2000-01-01,1995-07-05,2009-01-06,,41613.0,Negado,Con Experiencia sin Mora,0,55.0
19,20,39,no,1,3,Primaria,Labor Contratada,496900,207000,Empleado,Arrendada,0,0,496900,0,0,0,0,0,207000,0,0,Consumo,1000000,24,56.279,Buena Experiencia CFB,Sin Codeudor,Sin Patrimonio,2009-01-31,Sabaneta,Sin Profesión,Sabaneta,,1,2006-05-05,2004-01-09,2009-01-06,industrias manufactu - elaboracion de produ,,Negada,Con Experiencia sin Mora,18,
20,21,31,no,1,2,Primaria,Indefinido,496900,0,Empleado,Propia,0,0,496900,0,0,0,0,0,0,0,0,Consumo,1500000,24,82.578,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Sin Profesión,Altavista,,1,2007-02-27,2009-01-26,2009-01-22,servicio domestico,,Negado,Con Experiencia sin Mora,0,40.0
21,22,62,yes,0,3,Profesional,Ninguno,2300000,855000,Jubilado,Propia,0,0,2300000,0,0,0,0,0,855000,0,0,Consumo,2000000,24,112.558,Buena Experiencia CFB,Sin Codeudor,Sin Patrimonio,2009-01-31,Envigado,Psicólogos,Envigado,,1,1976-02-01,1997-06-03,2009-01-28,,,Negado,Mora mayor a 60 Dìas,0,50.0
22,23,64,no,0,2,Primaria,Ninguno,1237244,155000,Jubilado,Propia,0,0,737244,180000,0,0,320000,0,155000,0,0,Consumo,700000,12,66395,Buenas Referencias,Con Codeudor(es),Prop.sin Hipoteca,2009-01-31,Medellin,Sin Profesión,Centro,,1,,2006-07-26,2009-01-19,,41916.0,Negado,Con Experiencia sin Mora,0,35.0
23,24,45,yes,4,4,Especializacion,Indefinido,1191200,572000,Empleado,Familiar,0,0,1191200,0,0,0,0,0,572000,0,0,Consumo,6000000,36,232.696,Sin Referencias,Libranza Establecida,Sin Patrimonio,2009-01-31,Medellin,Administración de Empresas,Altavista,,0,1992-09-30,2007-02-09,2009-01-26,administracion publi,,Negado,Mora mayor a 60 Dìas,11,87.0
24,25,59,no,0,3,Técnico,Ninguno,2116500,882000,Jubilado,Propia,0,0,2116500,0,0,0,0,0,882000,0,0,Consumo,7500000,36,298993,Buenas Referencias,Sin Codeudor,Prop.sin Hipoteca,2009-01-31,Medellin,Técnicos postsecundarios no universitarios y asistentes,Centro,,0,,2005-03-31,2009-01-20,,41935.0,Negado,Con Experiencia sin Mora,0,58.0
25,26,56,no,1,4,Técnico,Ninguno,1050000,174000,Independiente,Propia,0,0,0,0,0,0,1050000,0,174000,0,0,Consumo,3500000,36,142888,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Técnicos en diseño y decoradores,Belen,,0,,2005-07-09,2009-01-21,otras actividades em - otras actividades em,41975.0,Negado,Con Experiencia sin Mora,0,84.0
26,27,48,yes,0,4,Bachiller,Indefinido,8385000,4408000,Empleado,Arrendada,0,0,1385000,0,0,0,7000000,0,4408000,0,0,Consumo,25000000,48,875.887,Buenas Referencias,Con Codeudor(es),Vehìculo con Prenda,2009-01-31,Medellin,Sin Profesión,Centro,,1,1998-07-22,2003-08-05,2009-01-08,administracion publi - actividades legislat,,Negada,Una mora 60 Dìas,9,
27,28,28,yes,3,3,Bachiller,Indefinido,846587,43000,Empleado,Arrendada,0,0,546587,0,0,0,300000,0,43000,0,0,Consumo,3000000,36,119597,Buenas Referencias,Sin Codeudor,Sin Patrimonio,2009-01-31,Sabaneta,Sin Profesión,Sabaneta,,0,2008-06-20,2008-06-20,2009-01-28,transporte almacenam - transporte por via t,42141.0,Negado,Con Experiencia sin Mora,0,61.0
