,Edad,Sexo,Perscargo,Estrato,Nivel de estudios,Tipo de contrato,Ingresos,Egresos,Tipo de actividad,Tipo de vivienda,Total pasivos,Salario,Ingresos por arriendo,Ingresos por honorarios,Ingresos financieros,Otros ingresos,Gasto familiar,Gasto obligatorio,Gasto arriendo,Otros gastos,Destino,Monto,Plazo,Cuota,Garantia,RespPat,Pagare,MoraCome,Puntaje,pasa,NumDias
63,0.5185185185185185,1.0,0.125,0.6,0.16666666666666666,0.25,0.2876453064701713,0.10173572790207686,0.25,1.0,0.22935779816513763,0.30207647642719765,0.0,0.0,0.0,0.12380952380952381,0.0,0.10173572790207686,0.0,0.0,0.5,0.026523297491039426,0.3684210526315789,0.045028322176667364,0.6,0.16666666666666666,0.08385744234800839,0.0,,1.0,0.0860525268603263
64,0.5185185185185185,1.0,0.25,0.4,0.5,0.0,0.017658232045760707,0.008427811778870272,0.25,1.0,0.0,0.06994896832471235,0.0,0.0,0.0,0.009523809523809525,0.0,0.008427811778870272,0.0,0.0,0.5,0.06379928315412187,0.5789473684210527,0.08141984604167353,0.2,0.6666666666666666,0.0,0.0,0.5754716981132075,1.0,0.013728611221647433
65,0.48148148148148145,1.0,0.125,0.8,0.6666666666666666,0.25,0.6142853852828726,0.31102638707735525,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.31102638707735525,0.0,0.0,0.5,0.04659498207885305,0.5789473684210527,0.06104793885634098,1.0,0.6666666666666666,0.07756813417190776,0.0,0.6320754716981132,1.0,0.012634301631516116
66,0.4074074074074074,1.0,0.0,0.8,0.8333333333333334,0.25,0.1589529502920338,0.0786595766027892,0.25,0.0,0.09174311926605505,0.3017733389696691,0.0,0.0,0.0,0.0,0.0,0.0786595766027892,0.0,0.0,0.5,0.002853046594982079,0.0,0.06698213101479861,0.2,0.6666666666666666,0.09475890985324947,0.0,,1.0,0.013032232391563868
67,0.018518518518518517,1.0,0.0,0.2,0.0,0.25,0.031041446351843516,0.0,0.25,0.0,0.0,0.07531450132296764,0.0,0.0,0.0,0.01904761904761905,0.0,0.0,0.0,0.0,0.5,0.025089605734767026,0.3684210526315789,0.044585902664043296,0.2,0.6666666666666666,0.8083857442348008,0.8,0.2169811320754717,1.0,0.0068643056108237165
68,0.3888888888888889,0.0,0.25,0.2,1.0,0.75,0.20679250512323083,0.011036420186615832,0.0,1.0,0.0,0.37513260369157764,0.0,0.0,0.0,0.0,0.0,0.011036420186615832,0.0,0.0,0.5,0.13978494623655913,0.3684210526315789,0.47597378091898684,0.2,0.6666666666666666,,0.0,0.29245283018867924,1.0,0.4129526462395543
69,0.5370370370370371,0.0,0.125,0.2,0.16666666666666666,0.25,0.17375612956651532,0.034012240393297886,0.25,1.0,0.013697247706422019,0.32447318120177937,0.0,0.0,0.0,0.0,0.0,0.034012240393297886,0.0,0.0,0.5,0.0967741935483871,0.5789473684210527,0.11994148704251258,0.7,0.5,,0.4,0.44339622641509435,1.0,0.2930760047751691
70,0.0,0.0,0.0,0.2,1.0,0.0,0.017598926812498895,0.00993277816795425,0.25,0.5,0.009174311926605505,0.07531450132296764,0.0,0.0,0.0,0.006095238095238095,0.0,0.00993277816795425,0.0,0.0,0.5,0.04659498207885305,0.5789473684210527,0.06104793885634098,0.2,0.6666666666666666,0.710691823899371,0.0,,1.0,0.03004377238360525
71,0.37037037037037035,0.0,0.0,0.4,0.0,0.25,0.231997229259502,0.14949332798234172,0.25,1.0,0.23577981651376148,0.41378262952646744,0.0,0.0,0.0,0.0,0.0,0.14949332798234172,0.0,0.0,0.5,0.053763440860215055,0.5789473684210527,0.07408053683898128,1.0,0.16666666666666666,,0.0,0.39622641509433965,1.0,0.42111022682053323
72,0.14814814814814814,1.0,0.375,0.4,0.6666666666666666,0.25,0.062285420075276134,0.05648640513695194,0.25,0.0,0.0,0.15353912223820934,0.0,0.0,0.0,0.0,0.0,0.05648640513695194,0.0,0.0,0.5,0.06810035842293907,0.5789473684210527,0.08689696296866241,1.0,0.6666666666666666,0.8918238993710692,0.0,,1.0,0.1733983286908078
73,0.3333333333333333,1.0,0.25,0.4,1.0,0.25,0.0767418614192869,0.010936089094010233,0.25,0.0,0.0,0.17570726136981452,0.0,0.0,0.0,0.0,0.0,0.010936089094010233,0.0,0.0,0.5,0.04788530465949821,0.5789473684210527,0.0575511759382408,1.0,0.6666666666666666,0.22557651991614255,0.0,0.5377358490566038,1.0,0.12156784719458814
74,0.5,0.0,0.125,0.8,0.16666666666666666,0.25,0.3713645274247661,0.34975418882311626,0.25,0.5,0.0,0.6274945370840935,0.0,0.0,0.0,0.0,0.0,0.34975418882311626,0.0,0.0,0.5,0.06810035842293907,0.5789473684210527,0.09358546665640767,1.0,0.6666666666666666,,0.0,0.7735849056603774,1.0,0.6131118185435734
75,0.25925925925925924,1.0,0.125,0.6,0.16666666666666666,0.25,0.42711144669087175,0.14768736831544096,0.25,1.0,0.05321100917431193,0.19006718587039934,0.0,0.0,0.0,0.32857142857142857,0.0,0.14768736831544096,0.0,0.0,0.5,0.0006451612903225806,0.0,0.042501126658386186,0.3,0.3333333333333333,0.11572327044025157,0.0,,1.0,0.012833267011539992
76,0.2037037037037037,1.0,0.0,0.2,0.5,0.25,0.04716258559351343,0.022775158021470853,0.25,0.0,0.0,0.13034910673727546,0.0,0.0,0.0,0.0,0.0,0.022775158021470853,0.0,0.0,0.5,0.12114695340501792,0.7894736842105263,0.12816655125288076,1.0,0.6666666666666666,0.08888888888888889,0.0,0.44339622641509435,1.0,0.19110624751293276
77,0.2037037037037037,1.0,0.0,0.4,0.16666666666666666,0.0,0.24583511702059208,0.0014046352964783787,0.25,0.5,0.0,0.4350022515534658,0.0,0.0,0.0,0.0,0.0,0.0014046352964783787,0.0,0.0,0.5,0.10996415770609319,0.7894736842105263,0.11995843271742675,1.0,0.6666666666666666,0.1429769392033543,0.0,0.5377358490566038,1.0,0.12156784719458814
78,0.05555555555555555,1.0,0.25,0.2,1.0,0.0,0.02754243758939646,0.0,0.25,0.5,0.0,0.06994896832471235,0.0,0.0,0.0,0.01904761904761905,0.0,0.0,0.0,0.0,0.5,0.14695340501792115,0.7894736842105263,0.1555928971058619,0.2,0.6666666666666666,0.08469601677148847,0.8,0.49056603773584906,1.0,0.013032232391563868
